min_price,max_price,headers,related_links,total_characteristics,char_Диагональ,char_Разрешение,char_Матрица,char_Частота,char_Контрастность,char_Яркость,char_Разъемы
150410,,AOC,2025 год; Gaming (игровые); игровой; HDR; Adaptive-Sync; динамики; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс, MPRT 0.3 мс",240,1 000:1,400.0,"HDMI, DisplayPort"
369585,408846.0,Dell,Alienware; игровой; HDMI 2.1; TÜV Rheinland; Adaptive-Sync; FreeSync,7,24.5,1920x1080 (16:9),"IPS, отклик 0.5 мс",500,1 000:1,400.0,"HDMI, DisplayPort"
204097,231361.0,Dell,2025 год; Alienware; игровой; HDMI 2.1; изогнутый; HDR; Adaptive-Sync; FreeSync,7,31.5,2560x1440 (16:9),"*VA, отклик 1 мс",180,3 000:1,400.0,"HDMI, DisplayPort"
459030,501590.0,Asus,ROG Strix; игровой; HDR; Adaptive-Sync; FreeSync,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс",300,1 000:1,600.0,"HDMI, DisplayPort"
393536,,Asus,ROG Strix; игровой; HDR; TÜV Rheinland; Adaptive-Sync; динамики; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс",170,1 000:1,400.0,"HDMI, DisplayPort"
156990,171100.0,Acer,2025 год; Nitro; игровой; изогнутый; HDR; Adaptive-Sync; динамики,7,34.0,3440x1440 (21:9),"*VA, отклик 5 мс, MPRT 1 мс",120,3 000:1,250.0,"HDMI, DisplayPort"
549760,549990.0,Asus,TUF; игровой; 4K; HDMI 2.1; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; динамики; хороший sRGB,7,31.5,3840x2160 (16:9),"*VA, MPRT 1 мс",160,2 500:1,400.0,"HDMI, DisplayPort"
118037,139990.0,Asus,2024 год; ZenScreen; портативный; TÜV Rheinland,7,15.6,1920x1080 (16:9),"IPS, отклик 5 мс",60,800:1,250.0,USB C (видео)
156990,177595.0,Dell,2024 год; Series S; HDMI 2.1; TÜV Rheinland; Adaptive-Sync; динамики,7,27.0,2560x1440 (16:9),"IPS, отклик 8 мс",100,1 500:1,300.0,"HDMI, DisplayPort"
93198,,Asus,TUF; игровой; FreeSync; динамики,7,24.0,1920x1080 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",144,1 000:1,250.0,"VGA, HDMI, DisplayPort"
505040,593460.0,Asus,2024 год; ROG Strix; игровой; QD-OLED; HDMI 2.1; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; KVM; хороший sRGB; хороший DCI-P3,7,26.5,2560x1440 (16:9),"QD-OLED, отклик 0.03 мс",360,1 500 000:1,250.0,"HDMI, DisplayPort, USB C (видео)"
231990,254990.0,Dell,Alienware; игровой; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync,7,25.0,1920x1080 (16:9),"IPS, отклик 1 мс",360,1 000:1,400.0,"HDMI, DisplayPort"
92900,105242.0,MSI,2024 год; игровой; изогнутый; TÜV Rheinland; Adaptive-Sync; FreeSync; хороший sRGB,7,23.6,1920x1080 (16:9),"*VA, MPRT 1 мс",180,3 000:1,250.0,"HDMI, DisplayPort"
292990,,Asus,ProArt; для графики; Power Delivery; HDR; CalMAN; TÜV Rheinland; Adaptive-Sync; FreeSync; динамики; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 5 мс",144,1 000:1,400.0,"HDMI, DisplayPort, USB C (видео)"
559996,670110.0,Samsung,2024 год; Odyssey; игровой; смарт; 4K; QD-OLED; HDMI 2.1; HDR; Adaptive-Sync; FreeSync; динамики; Bluetooth; Wi-Fi; хороший DCI-P3,7,32.0,3840x2160 (16:9),"QD-OLED, отклик 0.03 мс",240,1 000 000:1,250.0,"HDMI, DisplayPort"
43990,69952.0,Xiaomi,2024 год; TÜV Rheinland,7,23.8,1920x1080 (16:9),"IPS, отклик 6 мс",100,1 000:1,250.0,"HDMI, DisplayPort"
199990,215778.0,Acer,2025 год; Nitro; игровой; HDMI 2.1; изогнутый; HDR; Adaptive-Sync; динамики,7,31.5,2560x1440 (16:9),"*VA, отклик 5 мс, MPRT 1 мс",280,3 000:1,250.0,"HDMI, DisplayPort"
147990,166834.0,Xiaomi,2024 год; игровой; изогнутый; TÜV Rheinland; FreeSync; хороший sRGB,7,34.0,3440x1440 (21:9),"*VA, MPRT 1 мс",180,4 000:1,350.0,"HDMI, DisplayPort"
249990,264438.0,Asus,ZenScreen; портативный; TÜV Rheinland; Adaptive-Sync; FreeSync; хороший sRGB,7,15.6,1920x1080 (16:9),"IPS, отклик 3 мс",144,1 200:1,300.0,"Mini HDMI, USB C (видео)"
177990,204952.0,Gigabyte,2024 год; игровой; Power Delivery; HDR; TÜV Rheinland; FreeSync; KVM; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, MPRT 1 мс",180,1 000:1,350.0,"HDMI, DisplayPort, USB C (видео)"
87010,,Philips,2025 год; E series; HDR; Adaptive-Sync,7,27.0,2560x1440 (16:9),"IPS, отклик 4 мс",75,1 000:1,300.0,"HDMI, DisplayPort"
75990,89000.0,BenQ,Mobiuz; игровой; HDR; FreeSync; динамики,7,23.8,1920x1080 (16:9),"*VA, отклик 4 мс, MPRT 1 мс",165,3 000:1,250.0,"HDMI, DisplayPort"
313375,358864.0,Acer,2024 год; Nitro; игровой; HDR; FreeSync; динамики,6,24.1,1920x1080 (16:9),TN+film,540,,400.0,"HDMI, DisplayPort"
130092,147840.0,Philips,2024 год; E series; 4K; HDR; Adaptive-Sync; динамики,7,27.0,3840x2160 (16:9),"IPS, отклик 4 мс",60,1 000:1,350.0,"HDMI, DisplayPort"
264690,272955.0,Dell,Alienware; игровой; HDMI 2.1; HDR; Adaptive-Sync; FreeSync,7,27.0,1920x1080 (16:9),"IPS, отклик 1 мс",360,1 000:1,400.0,"HDMI, DisplayPort"
607600,738844.0,Asus,ProArt; для графики; Power Delivery; HDR; CalMAN; TÜV Rheinland; FreeSync; динамики; хороший sRGB; хороший DCI-P3,7,34.0,3440x1440 (21:9),"IPS, отклик 2 мс",120,1 000:1,350.0,"HDMI, DisplayPort, USB C (видео)"
182862,225720.0,Samsung,2024 год; 4K; Power Delivery; HDR; TÜV Rheinland; KVM,7,27.0,3840x2160 (16:9),"IPS, отклик 5 мс",60,1 000:1,350.0,"HDMI, DisplayPort, USB C (видео), LAN"
353479,393253.0,Asus,2024 год; ROG Strix; игровой; 4K; HDMI 2.1; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; хороший sRGB,7,27.0,3840x2160 (16:9),"IPS, отклик 1 мс",160,1 000:1,350.0,"HDMI, DisplayPort, USB C (видео)"
331519,395289.0,Asus,2024 год; ProArt; для графики; HDR; CalMAN; TÜV Rheinland; Adaptive-Sync; динамики; хороший sRGB,7,31.5,2560x1440 (16:9),"IPS, отклик 5 мс",75,1 000:1,350.0,"HDMI, DisplayPort"
682051,792885.0,Dell,2024 год; Alienware; игровой; 4K; QD-OLED; HDMI 2.1; USB C хаб; изогнутый; HDR; Adaptive-Sync; хороший DCI-P3,7,31.6,3840x2160 (16:9),"QD-OLED, отклик 0.03 мс",240,1 000 000:1,1000.0,"HDMI, DisplayPort"
214534,243240.0,HP,2024 год; для графики; USB C хаб; HDR; Pantone; TÜV Rheinland; FreeSync; хороший sRGB; хороший DCI-P3,7,27.0,2560x1440 (16:9),"IPS, отклик 5 мс",120,2 000:1,400.0,"HDMI, DisplayPort"
69692,,Iiyama,2024 год; Adaptive-Sync; динамики,7,21.5,1920x1080 (16:9),"IPS, MPRT 1 мс",100,1 000:1,300.0,"HDMI, DisplayPort"
80933,94545.0,MSI,2024 год; игровой; TÜV Rheinland; Adaptive-Sync; FreeSync,7,24.5,1920x1080 (16:9),"IPS, отклик 1 мс",180,1 000:1,300.0,"HDMI, DisplayPort"
330843,382927.0,Asus,ProArt; для графики; 4K; Power Delivery; HDR; CalMAN; динамики; хороший sRGB,7,27.0,3840x2160 (16:9),"IPS, отклик 5 мс",60,1 000:1,350.0,"HDMI, DisplayPort, USB C (видео)"
54195,64675.0,AOC,2025 год; Home (домашние); Adaptive-Sync,7,23.8,1920x1080 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",120,1 500:1,300.0,"VGA, HDMI"
47596,70092.0,Samsung,2024 год; изогнутый; TÜV Rheinland,7,23.8,1920x1080 (16:9),"*VA, отклик 4 мс",100,3 000:1,250.0,"VGA, HDMI"
370690,396178.0,Dell,2025 год; Series P; HDMI 2.1; USB C хаб; Power Delivery; изогнутый; TÜV Rheinland; KVM,7,34.1,3440x1440 (21:9),"IPS, отклик 5 мс",100,1 500:1,350.0,"HDMI, DisplayPort, USB C (видео), LAN"
191607,249990.0,ASRock,игровой; изогнутый; HDR; FreeSync; динамики; хороший sRGB,7,34.0,3440x1440 (21:9),"*VA, отклик 5 мс, MPRT 1 мс",165,3 000:1,550.0,"HDMI, DisplayPort"
118451,,Iiyama,2024 год; TÜV Rheinland; FreeSync; динамики,7,27.0,2560x1440 (16:9),"IPS, MPRT 0.4 мс",100,1 300:1,250.0,"HDMI, DisplayPort"
149990,197367.0,Acer,2025 год; Nitro; игровой; изогнутый; HDR; FreeSync,7,31.5,1920x1080 (16:9),"*VA, отклик 5 мс, MPRT 1 мс",240,3 000:1,250.0,"HDMI, DisplayPort"
299990,,Asus,2024 год; ZenScreen; портативный; OLED; Power Delivery; HDR; TÜV Rheinland; хороший DCI-P3,7,15.6,1920x1080 (16:9),"OLED, отклик 1 мс",60,100 000:1,400.0,"Mini HDMI, USB C (видео)"
180821,206150.0,AOC,2024 год; Gaming (игровые); игровой; изогнутый; HDR; FreeSync; хороший sRGB,6,34.0,3440x1440 (21:9),"*VA, отклик 1 мс, MPRT 1 мс",180,4 000:1,,"HDMI, DisplayPort"
488729,636125.0,Asus,2024 год; ROG Strix; игровой; OLED; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; хороший sRGB; хороший DCI-P3,7,26.5,2560x1440 (16:9),"OLED, отклик 0.03 мс",240,1 500 000:1,275.0,"HDMI, DisplayPort"
678338,699990.0,Gigabyte,2024 год; Aorus; игровой; 4K; QD-OLED; HDMI 2.1; Power Delivery; HDR; TÜV Rheinland; FreeSync; KVM; динамики; хороший DCI-P3,7,31.5,3840x2160 (16:9),"QD-OLED, отклик 0.03 мс",240,1 500 000:1,250.0,"HDMI, DisplayPort, USB C (видео)"
239770,284208.0,Lenovo,Legion; игровой; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; динамики; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс, MPRT 0.5 мс",240,1 000:1,400.0,"HDMI, DisplayPort"
69990,105990.0,Asus,TÜV Rheinland; Adaptive-Sync,7,27.0,1920x1080 (16:9),"IPS, MPRT 1 мс",100,1 300:1,250.0,HDMI
512990,,MSI,2024 год; игровой; QD-OLED; HDMI 2.1; HDR; TÜV Rheinland; Adaptive-Sync; хороший sRGB; хороший DCI-P3,7,26.5,2560x1440 (16:9),"QD-OLED, отклик 0.03 мс",360,1 500 000:1,250.0,"HDMI, DisplayPort, USB C (видео)"
49345,62407.0,AOC,2024 год; Home (домашние); HDR; Adaptive-Sync; динамики; хороший NTSC,6,23.8,1920x1080 (16:9),"отклик 4 мс, MPRT 1 мс",100,,250.0,"VGA, HDMI"
144875,163267.0,AOC,2024 год; портативный; HDR; Adaptive-Sync; FreeSync; динамики,7,15.6,1920x1080 (16:9),"IPS, отклик 4 мс",144,1 000:1,250.0,"Micro HDMI v 2.0, USB C (видео)"
383990,429301.0,Asus,TUF; игровой; HDR; TÜV Rheinland; FreeSync; динамики; хороший DCI-P3,7,31.5,2560x1440 (16:9),"IPS, отклик 1 мс",170,1 000:1,400.0,"HDMI, DisplayPort"
144875,150920.0,MSI,2024 год; игровой; HDR; TÜV Rheinland; Adaptive-Sync; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс, MPRT 1 мс",180,1 000:1,400.0,"HDMI, DisplayPort, USB C (видео)"
82990,104000.0,Philips,E series; FreeSync; хороший NTSC; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 4 мс",75,1 000:1,250.0,"VGA, HDMI, DisplayPort"
581905,649952.0,LG,2025 год; UltraGear (игровые); игровой; OLED; HDMI 2.1; HDR; Adaptive-Sync; FreeSync; хороший DCI-P3,7,26.5,2560x1440 (16:9),"OLED, отклик 0.03 мс",480,1 500 000:1,275.0,"HDMI, DisplayPort"
66990,80713.0,Acer,серия S (дизайн корпуса); динамики,6,27.0,1920x1080 (16:9),"IPS, отклик 1 мс",100,,250.0,"VGA, HDMI"
74938,87875.0,MSI,2024 год; игровой; HDR; TÜV Rheinland; Adaptive-Sync; хороший sRGB,7,24.5,1920x1080 (16:9),"IPS, отклик 1 мс, MPRT 1 мс",180,1 000:1,250.0,"HDMI, DisplayPort"
599710,786852.0,Philips,2024 год; Evnia; игровой; 4K; QD-OLED; HDMI 2.1; Power Delivery; HDR; Adaptive-Sync; KVM; динамики; хороший NTSC; хороший sRGB; хороший AdobeRGB; хороший DCI-P3,7,31.5,3840x2160 (16:9),"QD-OLED, отклик 0.03 мс",240,1 500 000:1,250.0,"HDMI, DisplayPort, USB C (видео)"
77990,108152.0,Gigabyte,2024 год; игровой; изогнутый; HDR; TÜV Rheinland; FreeSync; хороший sRGB,7,27.0,1920x1080 (16:9),"*VA, MPRT 1 мс",180,3 000:1,250.0,"HDMI, DisplayPort"
1899990,,Dell,UltraSharp; 8K; хороший sRGB; хороший AdobeRGB; хороший DCI-P3,7,32.0,7680x4320 (16:9),"IPS, отклик 6 мс",60,1 300:1,400.0,DisplayPort
144990,153062.0,Lenovo,2024 год; Legion; игровой; HDMI 2.1; изогнутый; HDR; TÜV Rheinland; FreeSync; динамики,7,27.0,1920x1080 (16:9),"*VA, отклик 1 мс, MPRT 0.5 мс",240,3 000:1,350.0,"HDMI, DisplayPort"
305884,373932.0,Asus,2024 год; ROG Strix; игровой; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; хороший sRGB,7,24.5,1920x1080 (16:9),"IPS, отклик 1 мс",380,1 000:1,400.0,"HDMI, DisplayPort"
223284,270150.0,Asus,ProArt; для графики; Power Delivery; CalMAN; динамики; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 5 мс",75,1 000:1,350.0,"HDMI, DisplayPort, USB C (видео)"
407877,499990.0,Samsung,2024 год; Odyssey; игровой; QD-OLED; HDMI 2.1; HDR; Adaptive-Sync; FreeSync; хороший DCI-P3,7,27.0,2560x1440 (16:9),"QD-OLED, отклик 0.03 мс",360,1 000 000:1,250.0,"HDMI, DisplayPort"
